area_id,stop_id
city,S0-0
city,S1-0
city,S1-1
city,S2-0
city,S2-1
city,S3-0
city,S3-1
city,S4-0
city,S4-1
city,S5-0
city,S5-1
city,S6-0
city,S6-1
arcus,S7-0
city,S8-0
city,S8-1
city,S9-0
city,S9-1
city,S10-0
city,S10-1
city,S11-0
city,S11-1
city,S12-0
city,S12-1
city,S13-0
city,S13-1
city,S14-0
arcus,S15-0
arcus,S15-1
arcus,S16-0
city,S17-0
city,S17-1
city,S18-0
city,S18-1
city,S19-0
city,S19-1
city,S20-0
city,S21-0
city,S21-1
city,S22-0
city,S23-0
city,S23-1
city,S24-0
city,S24-1
city,S25-0
city,S25-1
city,S26-0
city,S26-1
city,S27-0
city,S27-1
city,S28-0
city,S29-0
city,S29-1
city,S30-0
city,S30-1
city,S31-0
city,S32-0
city,S32-1
city,S33-0
city,S33-1
city,S34-0
city,S35-0
city,S35-1
city,S36-0
city,S36-1
arcus,S37-0
arcus,S37-1
city,S38-0
city,S38-1
city,S39-0
city,S40-0
city,S40-1
city,S41-0
city,S41-1
city,S42-0
city,S42-1
city,S43-0
city,S43-1
city,S44-0
city,S44-1
city,S45-0
city,S45-1
city,S46-0
city,S46-1
city,S47-0
city,S48-0
city,S49-0
city,S50-0
city,S51-0
city,S52-0
city,S53-0
city,S54-0
city,S55-0
city,S55-1
city,S56-0
city,S56-1
city,S57-0
city,S57-1
city,S58-0
city,S59-0
city,S60-0
city,S61-0
city,S62-0
city,S63-0
city,S64-0
city,S65-0
